service,request_id,level,event,status_code_log,duration_ms_log,generated_at,status_code_metric,duration_ms_metric,cpu_percent,memory_mb,db_query_time_ms
restaurants-service,363990c7-716f-4f12-8920-58be28b6a268,info,http.request.completed.success,304,175.38,1772080299914,304,170,100,28.7,0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,info,request.incoming,,,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,info,auth.login.request,,,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,info,user.login.start,,,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,warn,user.login.invalid_password,,,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,warn,auth.login.invalid_credentials,,,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,3b8cddad-6033-4a6a-91df-ad513a5f8e67,error,request.completed.error,,1148,1772080299914,401,1977.0,4.33,102.0,700.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,info,request.incoming,,,1772080299914,401,344.0,0.44,102.0,85.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,info,auth.login.request,,,1772080299914,401,344.0,0.44,102.0,85.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,info,user.login.start,,,1772080299914,401,344.0,0.44,102.0,85.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,warn,user.login.invalid_password,,,1772080299914,401,344.0,0.44,102.0,85.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,warn,auth.login.invalid_credentials,,,1772080299914,401,344.0,0.44,102.0,85.0
users-service,35773f41-3b61-4ed6-b5c0-5f2bd8b22982,error,request.completed.error,,314,1772080299914,401,344.0,0.44,102.0,85.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,request.incoming,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,auth.login.request,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,user.login.start,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,jwt.token.generate.start,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,jwt.token.generate.success,,,1772080299914,200,472.0,0.26,102.0,91.0
users-service,dba004ad-c8e9-4ca0-88fa-95651866b365,info,user.login.success,,,1772080299914,200,472.0,0.26,102.0,91.0
