request_id,level,service,event,status_code,duration_ms
da4c8c51-9e91-4b05-8b1e-bfbdcadb5e7b,info,restaurants-service,http.request.completed,304,82.24
0e080b5c-baae-4abc-ad03-c857dc505af7,info,restaurants-service,menuItem.list.success,,
0e080b5c-baae-4abc-ad03-c857dc505af7,info,restaurants-service,http.request.completed,304,519.37
0770da14-8c45-4d46-92e9-4156cc246378,info,restaurants-service,http.request.received,,
0770da14-8c45-4d46-92e9-4156cc246378,info,restaurants-service,menuItem.list.start,,
7155eb57-e7f1-4aac-9cc3-b462874581a8,info,restaurants-service,http.request.received,,
dbf627f0-669f-4b58-a59c-9bdd3825d53a,info,restaurants-service,http.request.received,,
7155eb57-e7f1-4aac-9cc3-b462874581a8,info,restaurants-service,http.request.completed,404,2.27
a9789dbd-28b5-4f52-8a5c-4ed1c25aef43,info,restaurants-service,http.request.received,,
dbf627f0-669f-4b58-a59c-9bdd3825d53a,info,restaurants-service,http.request.completed,404,2.46
f09d3f9a-a513-4f5a-8786-4ee3f6a13978,info,restaurants-service,http.request.received,,
a9789dbd-28b5-4f52-8a5c-4ed1c25aef43,info,restaurants-service,http.request.completed,404,1.77
f09d3f9a-a513-4f5a-8786-4ee3f6a13978,info,restaurants-service,http.request.completed,404,3.38
0770da14-8c45-4d46-92e9-4156cc246378,info,restaurants-service,menuItem.list.success,,
0770da14-8c45-4d46-92e9-4156cc246378,info,restaurants-service,http.request.completed,304,73.76
system,info,restaurants-service,db.connecting,,
system,info,restaurants-service,db.connected,,
system,info,restaurants-service,server.started,,
system,info,orders-service,db.connected,,
system,info,orders-service,server.started,,
system,info,orders-service,db.connected,,
system,info,orders-service,server.started,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,warn,users-service,unknown,,
,info,users-service,unknown,,
,warn,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,error,users-service,unknown,,
,info,users-service,unknown,,
,info,users-service,unknown,,
,error,users-service,unknown,,
,warn,users-service,http.patch.to,,
,info,users-service,unknown,,
,error,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,request.incoming,,
,info,users-service,unknown,,
,info,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,auth.register.request,,
,info,users-service,unknown,,
,info,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,user.register.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,request.incoming,,
,info,users-service,unknown,,
,info,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,auth.register.request,,
,error,users-service,unknown,,
,info,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,user.register.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,user.register.success,,
,info,users-service,unknown,,
,error,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,auth.register.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,user.register.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,auth.register.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
23474121-ce3b-4285-bbe4-506554718e50,info,users-service,request.completed.success,,836
,info,users-service,unknown,,
,info,users-service,unknown,,
dc903747-2c65-46c3-891a-7e9d84a29d9d,info,users-service,request.completed.success,,1830
,info,users-service,unknown,,
,info,users-service,unknown,,
8b0d90b2-e0d0-4e87-aa8e-f4b2e33cc48c,info,users-service,request.incoming,,
,info,users-service,unknown,,
,info,users-service,unknown,,
8b0d90b2-e0d0-4e87-aa8e-f4b2e33cc48c,info,users-service,auth.login.request,,
,info,users-service,unknown,,
,info,users-service,unknown,,
8b0d90b2-e0d0-4e87-aa8e-f4b2e33cc48c,info,users-service,user.login.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
8b0d90b2-e0d0-4e87-aa8e-f4b2e33cc48c,warn,users-service,auth.login.failure,,
,info,users-service,unknown,,
,info,users-service,unknown,,
8b0d90b2-e0d0-4e87-aa8e-f4b2e33cc48c,error,users-service,request.completed.error,,128
,info,users-service,unknown,,
,info,users-service,unknown,,
ccba6d6f-3ad3-4918-a6cb-36f10f7aa2ae,info,users-service,request.incoming,,
,info,users-service,unknown,,
,info,users-service,unknown,,
ccba6d6f-3ad3-4918-a6cb-36f10f7aa2ae,info,users-service,auth.login.request,,
,info,users-service,unknown,,
,info,users-service,unknown,,
ccba6d6f-3ad3-4918-a6cb-36f10f7aa2ae,info,users-service,user.login.start,,
,info,users-service,unknown,,
,info,users-service,unknown,,
ccba6d6f-3ad3-4918-a6cb-36f10f7aa2ae,warn,users-service,auth.login.failure,,
,error,users-service,unknown,,
,info,users-service,unknown,,
ccba6d6f-3ad3-4918-a6cb-36f10f7aa2ae,error,users-service,request.completed.error,,90
,error,users-service,unknown,,
,info,users-service,unknown,,
70e8f05c-306c-433a-92e4-959c61240606,info,users-service,request.incoming,,
,error,users-service,unknown,,
,error,users-service,unknown,,
70e8f05c-306c-433a-92e4-959c61240606,info,users-service,auth.login.request,,
,info,users-service,unknown,,
,error,users-service,unknown,,
70e8f05c-306c-433a-92e4-959c61240606,info,users-service,user.login.start,,
,info,users-service,unknown,,
,error,users-service,unknown,,
70e8f05c-306c-433a-92e4-959c61240606,warn,users-service,auth.login.failure,,
,info,users-service,unknown,,
,info,users-service,unknown,,
70e8f05c-306c-433a-92e4-959c61240606,error,users-service,request.completed.error,,140
,info,users-service,unknown,,
,info,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,request.incoming,,
,info,users-service,unknown,,
,info,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,auth.register.request,,
,info,users-service,unknown,,
,info,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,user.register.start,,
,error,users-service,unknown,,
,info,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,user.register.success,,
,info,users-service,unknown,,
,info,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,auth.register.success,,
,info,users-service,unknown,,
,error,users-service,unknown,,
5049568d-3e0e-4070-93eb-bd50b5145e29,info,users-service,request.completed.success,,336
,info,users-service,unknown,,
,info,users-service,unknown,,
665a157e-4c03-49a0-bce6-d0413d27143d,info,users-service,request.incoming,,
,info,users-service,unknown,,
